site_name,os_type_1,os_type_2,os_type_2_1,pf_type,pf_registration,
dailydiscord.com,satire,,,,,
dailyheadlines.com,fake,,,,,
dailyheadlines.net,fake,,,,,
dailyinfobox.com,fake,,,Fake news,Panama, Pa.*
dailyken.com,hate,,,,,
dailykos.com,political,clickbait,,,,
dailyleak.org,satire,fake,,,,
dailynews10.com,fake,,,Imposter site,Scottsdale, Ariz. **
dailynews5.com,fake,,,Imposter site,Scottsdale, Ariz. **
dailynewsbin.com,bias,clickbait,,,,
dailynewsposts.info,fake,,,Fake news,Chesterbrook, Pa ^
dailyoccupation.com,conspiracy,bias,,,,
dailypoliticsusa.com,bias,,,,,
dailysignal.com,bias,,,,,
dailysnark.com,satire,,,Parody site,Scottsdale, Ariz. **
dailysquib.co.uk,satire,,,,,
dailystormer.com,hate,conspiracy,bias,,,
dailysurge.com,fake,,,Fake news,Alexandria, Va.
dailytelegraph.com.au,bias,rumor,,,,
dailyusaupdate.com,fake,,,Fake news,Scottsdale, Ariz. **
dailywire.com,bias,,,,,
damnleaks.com,fake,,,Fake news,Colorado Springs, Colo.
dandygoat.com,satire,,,,,
darkmoon.me,hate,bias,,,,
darkpolitricks.com,bias,conspiracy,,,,
dataasylum.com,conspiracy,junksci,,,,
davejanda.com,unreliable,,,,,
davidduke.com,hate,,,,,
davidstockmanscontracorner.com,political,,,,,
davidwolfe.com,conspiracy,,,,,
dcclothesline.com,conspiracy,junksci,,,,
dcgazette.com,fake,,,,,
dcleaks.com,unreliable,,,,,
ddemocraticunderground.com,fake,,,,,
deadlinelive.info,political,conspiracy,,,,
deadlyclear.wordpress.com,bias,fake news,,,,
debunkingskeptics.com,bias,conspiracy,,,,
defenddemocracy.press,bias,political,,,,
democraticmoms.com,,,,Fake news,Panama, Pa. *
dennismichaellynch.com,political,,,,,
denverguardian.com,fake,,,,,
denverinquirer.com,,,,Imposter site,Toronto, Canada !!!
departed.co,fake,,,,,
departedmedia.com,fake,,,Fake news,Chesterbrook, Pa.^
der-postillon.com,satire,,,,,
derfmagazine.com,satire,,,,,
dineal.com,junksci,,,,,
disclose.tv,satire,conspiracy,,Fake news,Passau, Germany
disclosuremedia.net,conspiracy,,,,,
dissentmagazine.org,political,,,,,
diversitychronicle.wordpress.com,satire,,,,,
diyhours.net,fake,,,Fake news,Panama, Pa.*
dollarvigilante.com,bias,,,,,
donaldtrumpnews.co,fake,,,,,
donaldtrumppotus45.com,fake,,,Fake news,Free Union, Va.
dont-tread-on.me,conspiracy,,,,,
downtrend.com,fake,satire,,,,
drrichswier.com,hate,bias,,,,
drudgereport.com,political,bias,,,,
drudgereport.com.co,fake,,,,,
duffleblog.com,satire,,,,,
duhprogressive.com,satire,,,,,
dutchsinse.com,conspiracy,,,,,
eaglerising.com,bias,clickbait,,,,
ebolahoax.com,conspiracy,,,,,
economicnoise.com,political,unreliable,,,,
ecowatch.com,political,,,,,
educate-yourself.org,conspiracy,junksci,,,,
educateinspirechange.org/health,clickbait,junksci,,,,
electionnightgatekeepers.com,conspiracy,unreliable,,,,
elelephantintheroom.blogspot.com,bias,,,,,
elitereaders.com,clickbait,,,,,
elkoshary.com,satire,,,,,
elmundotoday.com,satire,,,,,
embols.com,fake,,,,,
empirehearland.com,fake,,,,,
empireherald.com,fake,satire,,Imposter site,Scottsdale, Ariz. **
empirenews.net,fake,satire,,Parody site,Chesterbrook, Pa ^
empirenews.net,fake,,,,,
empiresports.co,satire,,,Parody site,Sellersburg, IN
empiresports.co,satire,,,,,
emptywheel.net,political,,,,,
en-volve.com,,,,Fake news,Chesterbrook, Pa. ^
en-vovle.com,fake,,,,,
enabon.com,fake,,,,,
endingthefed.com,bias,,,,,
endoftheamericandream.com,Conspiracy,Fake,Political,,,
endtime.com,bias,clickbait,Political,,,
enduringvision.com,fake,,,,,
enhlive.com,fake,,,Fake news,Brea, Calif. !!
eutimes.net,hate,conspiracy,,,,
eutopia.buzz,fake,satire,conspiracy,,,
ewao.com,junksci,,,,,
experimentalvaccines.org,junksci,conspiracy,,,,
expose1933.com,conspiracy,hate,,,,
express.co.uk,rumor,,,,,
extraclubmagazine.com,bias,clickbait,fake,,,
eyeopening.info,conspiracy,junksci,,,,
fakingnews.com,fake,satire,,,,
familysecuritymatters.org,conspiracy,bias,,,,
farmwars.info,fake news,conspiracy,,,,
federalistpress.com,bias,,,,,
federalisttribune.com,,,,Fake news,Brea, Calif. !!
fedsalert.com,fake,,,Fake news,Scottsdale, Ariz. **
fellowshipoftheminds.com,conspiracy,junksci,,,,
filmsforaction.org,political,,,,,
financialsurvivalnetwork.com,unreliable,bias,,,,
firearmscoalition.org,bias,blog,,,,
firstpost.com,,,,Some fake stories,Mumbai, India
flashnewscorner.com,fake,,,Fake news,Panama, Pa.*
floridasunpost.com,fake,satirical,,Parody site,Toronto, Canada !!!
fmobserver.com,satire,,,,,
focusnews.info,,,,Fake news,Scottsdale, Ariz. **
foodbabe.com,junksci,,,,,
foreignpolicyjournal.com,political,,,,,
fourwinds10.net,conspiracy,junksci,,,,
fox-news24.com,,,,Imposter site,Scottsdale, Ariz. **
fprnradio.com,conspiracy,fake,,,,
freakoutnation.com,bias,,,,,
freebeacon.com,bias,,,,,
freedomcrossroads.us,,,,Fake news,North Waterboro, Me.
freedomdaily.com,fake,,,Fake news,Scottsdale, Ariz. **
freedomforceinternational.com,conspiracy,,,,,
freedomoutpost.com,conspiracy,bias,,,,
freedomsfinalstand.com,,,,Fake news,Scottsdale, Ariz. **
freedomsphoenix.com,bias,conspiracy,,,,
freedomworks.org,political,,,,,
freedomworldnews.com,bias,unreliable,,,,
freepatriot.org,satire,,,,,
freewoodpost.com,satire,,,Parody site,Scottsdale, Ariz. **
freshdailyreport.com,fake,,,Fake news,Veles, Macedonia
fridaymash.com,satire,,,,,
fromthetrenchesworldreport.com,conspiracy,junksci,bias,,,
frontpagemag.com,bias,hate,,,,
fusion.net,political,reliable,,,,
gaia.com,conspiracy,junksci,,,,
galacticconnection.com,junksci,,,,,
gangstergovernment.com,conspiracy,bias,,,,
gatesofvienna.net,hate,conspiracy,,,,
geoengineeringwatch.org,junksci,conspiracy,,,,
geopolmonitor.com,political,,,,,
givemeliberity01.com,fake,,,,,
givemeliberty01.com,,,,Fake news,Scottsdale, Ariz. **
glaringhypocrisy.com,hate,conspiracy,,,,
globalpoliticsnow.com,fake,,,Fake news,Kumanovo, Macedonia
globalresearch.ca,conspiracy,,,,,
glossynews.com,satire,,,,,
godlikeproductions.com,conspiracy,,,,,
gomerblog.com,satire,,,,,
goneleft.com,fake,,,,,
gopthedailydose.com,fake,conspiracy,bias,,,
govtslaves.info,conspiracy,,,,,
greanvillepost.com,conspiracy,,,,,
greenmedinfo.com,junksci,,,,,
guardianlv.com,political,,,,,
guccifer2.wordpress.com,unreliable,,,,,
gulagbound.com,bias,,,,,
gummypost.com,fake,,,Fake news,Scottsdale, Ariz. **
hangthebankers.com,conspiracy,,,,,
healthimpactnews.com,junksci,bias,,,,
healthnutnews.com,junksci,,,,,
healthy-holistic-living.com,junksci,clickbait,,,,
healthycareandbeauty.com,fake,unreliable,,Some fake stories,Berlin, Germany
healthyworldhouse.com,fake,,,Fake news,Kumanovo, Macedonia
heartland.org,bias,,,,,
heatst.com,clickbait,bias,,,,
henrymakow.com,conspiracy,,,,,
heresyblog.net,bias,conspiracy,rumor,,,
heritage.org,political,,,,,
holyobserver.com,satire,,,,,
horowitzfreedomcenter.org,bias,,,,,
houstonchronicle-tv.com,,,,Imposter site,Scottsdale, Ariz. **
humansarefree.com,conspiracy,,,,,
humortimes.com,satire,,,,,
huzlers.com,satire,,,,,
icr.org,junksci,,,,,
ifyouonlynews.com,unreliable,satire,,,,
ihavethetruth.com,bias,clickbait,fake,,,
ihr.org,hate,,,,,
ijr.com,political,bias,unreliable,,,
illuminati-news.com,conspiracy,,,,,
ilovemyfreedom.org,bias,clickbait,,,,
ilovenativeamericans.us,,,,Some fake stories,Kosovo, Serbia
immediatesafety.org,fake,,,,,
in5d.com,junksci,,,,,
indiaarising.com,clickbait,unreliable,,,,
infiniteunknown.net,conspiracy,,,,,
informationclearinghouse.info,conspiracy,unreliable,,,,
informetoday.com,bias,unreliable,,,,
infostormer.com,fake,hate,conspiracy,,,
infowars.com,conspiracy,,,,,
instaworldnews.com,bias,,,,,
intellihub.com,conspiracy,unreliable,,,,
interestingdailynews.com,fake,,,Fake news,Orem, Utah~
intrendtoday.com,fake,clickbait,,,,
intrepidreport.com,bias,,,,,
investmentresearchdynamics.com,conspiracy,,,,,
investmentwatchblog.com,bias,fake,,,,
ironictimes.com,satire,,,,,
islamicanews.com,satire,,,,,
isthatlegit.com,,,,Fake news,Toronto, Canada !!!
itaglive.com,fake,,,,,
itccs.org,conspiracy,,,,,
itmakessenseblog.com,fake,,,,,
iwanttoexplore.com,fake,,,,,
jackpineradicals.com,political,,,,,
jacobinmag.com,political,,,,,
jamesrgrangerjr.com,bias,,,,,
jesus-is-savior.com,conspiracy,,,,,
jewsnews.co.il,unreliable,bias,fake,Some fake stories,Shiloh, Israel
jihadwatch.org,conspiracy,hate,,,,
johnnyrobish.com,satire,,,,,
jonesreport.com,conspiracy,,,,,
journal-neo.org,bias,,,,,
judicialwatch.org,political,,,,,
katehon.com,bias,,,,,
kmt11.com,fake,,,Imposter site,Scottsdale, Ariz. **
knowledgeoftoday.org,conspiracy,,,,,
konkonsagh.biz,fake,,,Fake news,Ashanti, Ghana
krbcnews.com,fake,,,,,
ky12news.com,fake,,,Imposter site,Scottsdale, Ariz. **
ladylibertynews.com,fake,,,,,
ladylibertysnews.com,,,,Fake news,Kirkland, Wash.***
landoverbaptist.org,satire,,,,,
lastdeplorables.com,fake,,,Fake news,Scottsdale, Ariz. **
learnprogress.org,fake,bias,,Some fake stories,Scottsdale, Ariz. **
lewrockwell.com,bias,unreliable,political,,,
liberalamerica.org,clickbait,bias,,,,
liberalbias.com,satire,,,,,
liberaldarkness.com,satire,fake,,,,
liberalplug.com,fake,,,Fake news,Scottsdale, Ariz. **
liberty-courier.com,,,,Fake news,Orem, Utah~
libertyalliance.com,fake,,,Fake news,Dallas, Ga.
libertyblitzkrieg.com,fake,,,,,
libertyfederation.com,hate,,,,,
libertymovementradio.com,conspiracy,,,,,
libertynews.com,unreliable,bias,,,,
libertytalk.fm,conspiracy,,,,,
libertyunyielding.com,bias,,,,,
libertyvideos.org,conspiracy,,,,,
libertywritersnews.com,clickbait,bias,unreliable,,,
lifeandabout.com,bias,,,,,
lifenews.com,bias,clickbait,,,,
lifeprevention.com,junksci,,,,,
lifesitenews.com,clickbait,bias,,,,
lifezette.com,clickbait,,,,,
liveactionnews.org,bias,,,,,
livevote.com,clickbait,,,,,
loanpride.com,rumor,clickbait,,,,
local31news.com,fake,,,Imposter site,Scottsdale, Ariz. **
lovethispic.com,clickbait,junksci,,,,
lushforlife.com,satire,,,,,
mad-yet.blogspot.com,unreliable,,,,,
madpatriots.com,unreliable,clickbait,,,,
madworldnews.com,fake,,,Fake news,Scottsdale, Ariz. **
madworldnews.com,unreliable,hate,,,,
madworldnews.com,unreliable,clickbait,,,,
magafeed.com,rumor,bias,fake,,,
maganews.co,fake,,,,,
majorthoughts.com,fake,,,Fake news,Sunrise, Fla.
makeamericagreattoday.com,bias,fake,,,,
meanlefthook.com,bias,clickbait,,,,
mediamass.net,fake,,,,,
mediazone.news,rumor,unreliable,,,,
megafreshnews.com,rumor,,,,,
megynkelly.us,fake,,,,,
mentor2day.com,fake,,,Some fake stories,Scottsdale, Ariz. **
metropolitanworlds.com,fake,,,Fake news,Accra, Ghana
militianews.com,conspiracy,bias,hate,,,
mintpressnews.com,political,,,,,
mississippiherald.com,,,,Imposter site,Toronto, Canada !!!
molonlabemedia.com,bias,conspiracy,,,,
moonofalabama.org,bias,,,,,
morningledger.com,unreliable,conspiracy,,,,
morningnewsusa.com,unreliable,,,,,
mpidailymagazine.com,fake,bias,,,,
mrc.org,political,bias,,,,
mrconservative.com,fake,satire,,,,
msnbc.website,fake,,,,,
myfreshnews.com,fake,bias,,,,
myzonetoday.com,fake,bias,,,,
nahadaily.com,satire,,,,,
nakedcapitalism.com,political,,,,,
nasamoonhoax.com,conspiracy,,,,,
nationalreport.net,satire,fake,,Parody site,Scottsdale, Ariz. **
nationalreview.com,political,,,,,
nationalufocenter.com,conspiracy,,,,,
nationalvanguard.org,hate,,,,,
nationindistress.weebly.com,conspiracy,,,,,
nationonenews.com,fake,conspiracy,,,,
nativeamericans.us,,,,Some fake stories,Cary, N.C.
naturalblaze.com,junksci,conspiracy,,,,
naturalnews.com,junksci,conspiracy,,,,
naturalnewsblogs.com,junksci,,,,,
nbc.com.co,fake,,,Imposter site,Phoenix, Ariz.
ncscooper.com,satire,,,,,
neonnettle.com,conspiracy,fake,bias,Fake news,Toronto, Canada !!!
nephef.com,fake,,,Fake news,Panama, Pa.*
nevo.news,unreliable,bias,,,,
newcenturytimes.com,unreliable,bias,,,,
newcoldwar.org,political,,,,,
newpoliticstoday.com,fake,,,Fake news,Kumanovo, Macedonia
news4ktla.com,fake,satire,,Imposter site,Scottsdale, Ariz. **
newsbbc.net,fake,,,,,
newsbiscuit.com,satire,,,,,
newsbreakers.org,satire,,,,,
newsbreakingspipe.com,,,,Fake news,Limassol, Cyprus
newsbreakshere.com,fake,,,Fake news,Chesterbrook, Pa.^
newsbysquad.com,fake,,,Fake news,Panama, Pa. *
newscorpse.com,political,,,,,
newsdaily12.com,fake,,,Imposter site,Scottsdale, Ariz. **
newsexaminer.net,fake,satire,,Fake news,Nobby Beach, Australia !!
newsfrompolitics.com,fake,,,,,
newsjustforyou1.blogspot.com,,,,Fake news,Mountain View, Calif.
newsleak.co,fake,,,Fake news,Tblisi, Georgia
