site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
duhprogressive.com,satire,,,,
dutchsinse.com,conspiracy,,,,
eaglerising.com,bias,clickbait,,,
ebolahoax.com,conspiracy,,,,
economicnoise.com,political,unreliable,,,
ecowatch.com,political,,,,
educateinspirechange.org/health,clickbait,junksci,,,
educate-yourself.org,conspiracy,junksci,,,
electionnightgatekeepers.com,conspiracy,unreliable,,,
elelephantintheroom.blogspot.com,bias,,,,
elitereaders.com,clickbait,,,,
elkoshary.com,satire,,,,
elmundotoday.com,satire,,,,
embols.com,fake,,,,
empirehearland.com,fake,,,,
empireherald.com,,,,Imposter site,"Scottsdale, Ariz. **"
empireherald.com,fake,satire,,,
empirenews.net,,,,Parody site,"Chesterbrook, Pa ^"
empirenews.net,fake,satire,,,
empirenews.net,fake,,,,
empiresports.co,,,,Parody site,"Sellersburg, IN"
empiresports.co,satire,,,,
empiresports.co,satire,,,,
emptywheel.net,political,,,,
enabon.com,fake,,,,
endingthefed.com,bias, ,,,
endoftheamericandream.com,Conspiracy,Fake,Political,,
endtime.com,bias,clickbait,Political,,
enduringvision.com,fake,,,,
enhlive.com,,,,Fake news,"Brea, Calif. !!"
enhlive.com,fake,,,,
en-volve.com,,,,Fake news,"Chesterbrook, Pa. ^"
en-vovle.com,fake,,,,
eutimes.net,hate,conspiracy,,,
eutopia.buzz,fake,satire,conspiracy,,
ewao.com,junksci,,,,
experimentalvaccines.org,junksci,conspiracy,,,
expose1933.com,conspiracy,hate,,,
express.co.uk,rumor,,,,
extraclubmagazine.com,bias,clickbait,fake,,
eyeopening.info,conspiracy,junksci,,,
fakingnews.com,fake,satire,,,
familysecuritymatters.org,conspiracy,bias,,,
farmwars.info,fake news,conspiracy,,,
federalistpress.com,bias,,,,
federalisttribune.com,,,,Fake news,"Brea, Calif. !!"
fedsalert.com,,,,Fake news,"Scottsdale, Ariz. **"
fedsalert.com,fake,,,,
fellowshipoftheminds.com,conspiracy,junksci,,,
filmsforaction.org,political,,,,
financialsurvivalnetwork.com,unreliable,bias,,,
firearmscoalition.org,bias,blog,,,
firstpost.com,,,,Some fake stories,"Mumbai, India"
flashnewscorner.com,,,,Fake news,"Panama, Pa.*"
flashnewscorner.com,fake,,,,
floridasunpost.com,,,,Parody site,"Toronto, Canada !!!"
floridasunpost.com,fake,satirical,,,
fmobserver.com,satire,,,,
focusnews.info,,,,Fake news,"Scottsdale, Ariz. **"
fognews.ru,satire,,,,
foodbabe.com,junksci,,,,
foreignpolicyjournal.com,political,,,,
fourwinds10.net,conspiracy,junksci,,,
fox-news24.com,,,,Imposter site,"Scottsdale, Ariz. **"
fprnradio.com,conspiracy,fake,,,
freakoutnation.com,bias,,,,
freebeacon.com,bias,,,,
freedomcrossroads.us,,,,Fake news,"North Waterboro, Me."
freedomdaily.com,,,,Fake news,"Scottsdale, Ariz. **"
freedomdaily.com,fake,,,,
freedomforceinternational.com,conspiracy,,,,
freedomoutpost.com,conspiracy,bias, ,,
freedomsfinalstand.com,,,,Fake news,"Scottsdale, Ariz. **"
freedomsphoenix.com,bias,conspiracy,,,
freedomworks.org,political,,,,
freedomworldnews.com,bias,unreliable,,,
freepatriot.org,satire,,,,
freewoodpost.com,,,,Parody site,"Scottsdale, Ariz. **"
freewoodpost.com,satire,,,,
freshdailyreport.com,,,,Fake news,"Veles, Macedonia"
freshdailyreport.com,fake,,,,
fridaymash.com,satire,,,,
fromthetrenchesworldreport.com,conspiracy,junksci,bias,,
frontpagemag.com,bias,hate,,,
fusion.net,political,reliable,,,
gaia.com,conspiracy,junksci,,,
galacticconnection.com,junksci,,,,
gangstergovernment.com,conspiracy,bias,,,
gatesofvienna.net,hate,conspiracy,,,
geoengineeringwatch.org,junksci,conspiracy,,,
geopolmonitor.com,political,,,,
givemeliberity01.com,fake,,,,
givemeliberty01.com,,,,Fake news,"Scottsdale, Ariz. **"
glaringhypocrisy.com,hate,conspiracy,,,
globalpoliticsnow.com,,,,Fake news,"Kumanovo, Macedonia"
globalpoliticsnow.com,fake,,,,
globalresearch.ca,conspiracy,,,,
